flow_id,packet_count,total_bytes,start_time,end_time,duration
10.52.21.225_185.252.220.114_56354_51820_UDP,1196,480600,1773569309.876046,1773569404.03146,9.5e-08
10.52.21.242_239.255.255.250_53133_1900_UDP,4,848,1773569317.569722,1773569320.63783,3e-09
142.251.221.102_10.52.21.225_443_17223_TCP,1,127,1773569317.634532,1773569317.634532,0.0
142.251.221.102_10.52.21.225_443_22153_TCP,1,127,1773569314.196131,1773569314.196131,0.0
142.251.221.102_10.52.21.225_443_31794_TCP,1,127,1773569318.06579,1773569318.06579,0.0
142.251.221.102_10.52.21.225_443_39230_TCP,1,127,1773569321.555908,1773569321.555908,0.0
185.252.220.114_10.52.21.225_51820_56354_UDP,1185,1127418,1773569309.875274,1773569404.491391,9.5e-08
192.178.211.84_10.52.21.225_443_56570_TCP,2,254,1773569311.364027,1773569340.492943,2.9e-08
