src_ip,dst_ip,src_port,dst_port,protocol,packet_size,timestamp
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570551.164902
10.52.21.225,45.13.104.185,60901,9001,TCP,1454,1773570551.226210
10.52.21.225,45.13.104.185,60901,9001,TCP,262,1773570551.226210
10.52.21.225,45.13.104.185,60901,9001,TCP,1454,1773570551.234127
10.52.21.225,45.13.104.185,60901,9001,TCP,732,1773570551.234127
45.13.104.185,10.52.21.225,9001,60901,TCP,950,1773570551.267966
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570551.268615
10.52.21.225,45.13.104.185,60901,9001,TCP,1454,1773570551.278099
10.52.21.225,45.13.104.185,60901,9001,TCP,1268,1773570551.278099
152.53.246.111,10.52.21.225,9001,27546,TCP,54,1773570551.370132
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570551.575902
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570551.575902
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570551.575902
10.52.21.225,45.13.104.185,60901,9001,TCP,1104,1773570551.575966
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570551.576513
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570551.576513
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570551.576513
45.13.104.185,10.52.21.225,9001,60901,TCP,590,1773570551.576513
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570551.576543
10.52.21.225,204.79.197.222,37605,443,TCP,55,1773570551.741015
204.79.197.222,10.52.21.225,443,37605,TCP,66,1773570551.981640
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570551.981694
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570551.981731
152.53.246.111,10.52.21.225,9001,27546,TCP,874,1773570551.982381
45.13.104.185,10.52.21.225,9001,60901,TCP,874,1773570551.982381
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570551.982381
10.52.21.225,152.53.246.111,27546,9001,TCP,66,1773570551.982416
10.52.21.225,152.53.246.111,27546,9001,TCP,66,1773570551.982453
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570551.982484
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570551.982484
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570551.982484
152.53.246.111,10.52.21.225,9001,27546,TCP,4254,1773570551.982484
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570551.982484
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570551.982506
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570551.982524
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570551.982532
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570551.982665
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570551.982684
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570551.982763
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570551.982787
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570551.983225
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.026060
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.035141
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.035229
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.035737
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.035778
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.052319
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.052319
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.052419
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.055976
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570552.056053
10.52.21.225,104.86.188.184,18643,443,TCP,1438,1773570552.187248
10.52.21.225,104.86.188.184,18643,443,TCP,1438,1773570552.187248
10.52.21.225,104.86.188.184,18643,443,TCP,1438,1773570552.187248
10.52.21.225,104.86.188.184,18643,443,TCP,1438,1773570552.187248
10.52.21.225,104.86.188.184,18643,443,TCP,720,1773570552.187248
10.52.21.225,104.86.188.184,18643,443,TCP,93,1773570552.187507
10.52.21.225,104.86.188.184,18643,443,TCP,1041,1773570552.187666
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.208047
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.208121
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.210882
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.210932
104.86.188.184,10.52.21.225,443,18643,TCP,54,1773570552.292665
104.86.188.184,10.52.21.225,443,18643,TCP,54,1773570552.292665
104.86.188.184,10.52.21.225,443,18643,TCP,54,1773570552.292665
104.86.188.184,10.52.21.225,443,18643,TCP,54,1773570552.292665
104.86.188.184,10.52.21.225,443,18643,TCP,54,1773570552.292665
104.86.188.184,10.52.21.225,443,18643,TCP,54,1773570552.292665
45.13.104.185,10.52.21.225,9001,60901,TCP,206,1773570552.292665
45.13.104.185,10.52.21.225,9001,60901,TCP,54,1773570552.292665
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.294239
104.86.188.184,10.52.21.225,443,18643,TCP,93,1773570552.294239
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.294303
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.297382
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.297460
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.299710
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.299710
10.52.21.225,152.53.246.111,27546,9001,TCP,66,1773570552.299774
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.302816
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.302816
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.302816
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.302891
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.302944
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.302966
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.303527
152.53.246.111,10.52.21.225,9001,27546,TCP,1004,1773570552.303527
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570552.303549
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.303592
152.53.246.111,10.52.21.225,9001,27546,TCP,2854,1773570552.304049
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.304086
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.307409
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.307475
152.53.246.111,10.52.21.225,9001,27546,TCP,5654,1773570552.311081
45.13.104.185,10.52.21.225,9001,60901,TCP,2854,1773570552.311081
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.311169
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.311222
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.313815
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.313882
10.52.21.225,104.86.188.184,18643,443,TCP,54,1773570552.342158
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.351343
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570552.351401
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.352085
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.352109
104.86.188.184,10.52.21.225,443,18643,TCP,255,1773570552.364465
104.86.188.184,10.52.21.225,443,18643,TCP,85,1773570552.364465
10.52.21.225,104.86.188.184,18643,443,TCP,54,1773570552.364516
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.366848
10.52.21.225,45.13.104.185,60901,9001,TCP,590,1773570552.366894
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.500615
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.500726
45.13.104.185,10.52.21.225,9001,60901,TCP,5654,1773570552.502775
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.502825
45.13.104.185,10.52.21.225,9001,60901,TCP,5654,1773570552.502900
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.502920
10.52.21.225,45.13.104.185,60901,9001,TCP,1454,1773570552.516411
10.52.21.225,45.13.104.185,60901,9001,TCP,1268,1773570552.516411
10.52.21.225,10.52.21.69,49787,53,UDP,70,1773570552.576518
10.52.21.225,10.52.21.69,55141,53,UDP,70,1773570552.576864
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.587990
45.13.104.185,10.52.21.225,9001,60901,TCP,490,1773570552.587990
45.13.104.185,10.52.21.225,9001,60901,TCP,1454,1773570552.587990
10.52.21.225,45.13.104.185,60901,9001,TCP,54,1773570552.588100
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.617205
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.617205
152.53.246.111,10.52.21.225,9001,27546,TCP,4254,1773570552.617205
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.617303
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.617391
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.617413
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.617913
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.617945
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.617982
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.617998
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.618534
10.52.21.225,152.53.246.111,27546,9001,TCP,590,1773570552.618563
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.618630
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.618647
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.620372
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.620412
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.620546
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.620581
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.621439
10.52.21.225,152.53.246.111,27546,9001,TCP,54,1773570552.621461
152.53.246.111,10.52.21.225,9001,27546,TCP,1454,1773570552.621611
