dst_ip,packet_count,total_bytes
13.107.137.11,56714,82189406
10.52.21.225,38626,7215448
149.154.171.5,1510,109490
149.154.167.151,450,61326
91.108.23.100,441,53130
149.154.175.54,134,17317
149.154.175.52,131,16959
52.104.99.55,67,20087
20.50.80.210,44,9938
135.171.2.152,20,9453
10.52.21.69,19,1740
13.89.179.11,9,8178
204.79.197.222,7,1310
149.154.167.50,4,506
20.189.173.2,4,1303
239.255.255.250,2,424
40.104.68.98,2,108
9.235.21.27,2,132
