flow_id,packet_count,total_bytes,start_time,end_time,duration
10.52.21.225_149.154.175.52_33979_80_TCP,6,848,1773567995.80792,1773567997.192113,2e-09
10.52.21.225_149.154.175.52_33985_443_TCP,5,603,1773568022.716302,1773568023.770421,1e-09
10.52.21.225_149.154.175.52_33986_443_TCP,5,431,1773568022.716322,1773568023.77056,1e-09
10.52.21.225_149.154.175.52_33989_80_TCP,5,610,1773568022.720692,1773568024.350032,2e-09
10.52.21.225_149.154.175.52_33992_80_TCP,5,622,1773568022.721483,1773568024.349611,2e-09
10.52.21.225_149.154.175.52_33993_443_TCP,7,1330,1773568023.73736,1773568035.747983,1.2e-08
10.52.21.225_149.154.175.52_33994_443_TCP,7,1318,1773568023.737507,1773568035.795182,1.2e-08
10.52.21.225_149.154.175.52_33998_80_TCP,6,720,1773568023.747157,1773568025.21558,2e-09
10.52.21.225_149.154.175.52_33999_80_TCP,6,780,1773568023.747678,1773568025.218143,2e-09
10.52.21.225_149.154.175.54_33948_443_TCP,5,439,1773567994.781599,1773567995.841793,1e-09
10.52.21.225_149.154.175.54_33949_443_TCP,5,447,1773567994.781868,1773567995.841899,1e-09
10.52.21.225_149.154.175.54_33950_443_TCP,5,635,1773567994.782047,1773567995.818303,1e-09
10.52.21.225_149.154.175.54_33951_443_TCP,5,619,1773567994.782776,1773567995.815206,1e-09
10.52.21.225_149.154.175.54_33952_80_TCP,5,678,1773567994.791042,1773567996.153587,2e-09
10.52.21.225_149.154.175.54_33953_80_TCP,5,634,1773567994.791203,1773567996.135621,2e-09
10.52.21.225_149.154.175.54_33956_80_TCP,5,698,1773567994.792029,1773567996.17326,2e-09
10.52.21.225_149.154.175.54_33957_80_TCP,5,742,1773567994.792308,1773567996.173062,2e-09
10.52.21.225_149.154.175.54_33968_443_TCP,9,1558,1773567995.79758,1773568013.692261,1.8e-08
10.52.21.225_149.154.175.54_33969_443_TCP,5,475,1773567995.797786,1773567996.621435,1e-09
10.52.21.225_149.154.175.54_33970_443_TCP,9,1334,1773567995.797958,1773568013.704601,1.8e-08
10.52.21.225_149.154.175.54_33971_443_TCP,9,1410,1773567995.798162,1773568013.704618,1.8e-08
10.52.21.225_149.154.175.54_33973_80_TCP,5,706,1773567995.806659,1773567997.193459,2e-09
10.52.21.225_149.154.175.54_33976_80_TCP,5,626,1773567995.807373,1773567997.181657,2e-09
10.52.21.225_149.154.175.54_33977_80_TCP,5,694,1773567995.807547,1773567997.194824,2e-09
10.52.21.225_149.154.175.54_33978_80_TCP,5,650,1773567995.807745,1773567997.201773,2e-09
10.52.21.225_149.154.175.54_33987_443_TCP,5,423,1773568022.716621,1773568023.770324,1e-09
10.52.21.225_149.154.175.54_33988_443_TCP,5,435,1773568022.717336,1773568023.824037,1e-09
10.52.21.225_149.154.175.54_33990_80_TCP,5,670,1773568022.720946,1773568024.350131,2e-09
10.52.21.225_149.154.175.54_33991_80_TCP,5,734,1773568022.721253,1773568024.349947,2e-09
10.52.21.225_149.154.175.54_33995_443_TCP,5,579,1773568023.738756,1773568025.215776,2e-09
10.52.21.225_149.154.175.54_33996_443_TCP,5,523,1773568023.74034,1773568025.215807,2e-09
10.52.21.225_149.154.175.54_33997_80_TCP,6,776,1773568023.74701,1773568025.195888,2e-09
10.52.21.225_149.154.175.54_34000_80_TCP,6,832,1773568023.748048,1773568025.215722,2e-09
10.52.21.225_20.189.173.2_64364_443_TCP,4,1303,1773567965.086047,1773567975.50534,1e-08
10.52.21.225_20.50.80.210_33934_443_TCP,12,3150,1773567980.468759,1773567988.90964,8e-09
10.52.21.225_20.50.80.210_33937_443_TCP,15,3310,1773567990.667523,1773568008.132172,1.8e-08
10.52.21.225_20.50.80.210_34001_443_TCP,17,3478,1773568023.78621,1773568029.884056,6e-09
10.52.21.225_204.79.197.222_26847_443_TCP,1,55,1773568008.146889,1773568008.146889,0.0
10.52.21.225_204.79.197.222_39553_443_TCP,6,1255,1773567977.999579,1773568023.582176,4.6e-08
10.52.21.225_40.104.68.98_45704_443_TCP,2,108,1773568017.897901,1773568018.106488,1e-09
10.52.21.225_52.104.99.55_45697_443_TCP,67,20087,1773567977.091109,1773567998.510463,2.1e-08
10.52.21.225_9.235.21.27_33933_443_TCP,1,66,1773567976.264988,1773567976.264988,0.0
10.52.21.225_9.235.21.27_5047_443_TCP,1,66,1773567976.000682,1773567976.000682,0.0
10.52.21.225_91.108.23.100_33962_443_TCP,188,21299,1773567995.697328,1773568036.470067,4.1e-08
10.52.21.225_91.108.23.100_33963_80_TCP,5,733,1773567995.701443,1773567995.967223,0.0
10.52.21.225_91.108.23.100_33982_443_TCP,44,5632,1773567996.6637,1773568008.063396,1.2e-08
10.52.21.225_91.108.23.100_33983_80_TCP,5,552,1773567996.667936,1773567997.249654,1e-09
10.52.21.225_91.108.23.100_50465_443_TCP,174,21247,1773567995.176069,1773568036.10909,4.1e-08
10.52.21.225_91.108.23.100_64492_443_TCP,25,3667,1773567997.828245,1773568008.550906,1.1e-08
10.52.21.242_239.255.255.250_59625_1900_UDP,2,424,1773567997.417854,1773567999.465884,2e-09
10.52.21.69_10.52.21.225_53_50473_UDP,1,179,1773567974.489139,1773567974.489139,0.0
10.52.21.69_10.52.21.225_53_52034_UDP,1,261,1773567972.905028,1773567972.905028,0.0
10.52.21.69_10.52.21.225_53_54136_UDP,1,298,1773567975.696404,1773567975.696404,0.0
10.52.21.69_10.52.21.225_53_54429_UDP,1,211,1773567974.489139,1773567974.489139,0.0
10.52.21.69_10.52.21.225_53_54508_UDP,2,388,1773568005.34739,1773568023.577663,1.8e-08
10.52.21.69_10.52.21.225_53_54736_UDP,1,265,1773567972.902556,1773567972.902556,0.0
10.52.21.69_10.52.21.225_53_54894_UDP,1,237,1773567972.905028,1773567972.905028,0.0
10.52.21.69_10.52.21.225_53_55089_UDP,1,353,1773567975.694885,1773567975.694885,0.0
10.52.21.69_10.52.21.225_53_59278_UDP,1,167,1773567974.489139,1773567974.489139,0.0
10.52.21.69_10.52.21.225_53_59609_UDP,1,213,1773567990.662565,1773567990.662565,0.0
10.52.21.69_10.52.21.225_53_60098_UDP,2,620,1773567980.117602,1773567990.662565,1e-08
10.52.21.69_10.52.21.225_53_61509_UDP,2,359,1773568005.326107,1773568023.770177,1.8e-08
10.52.21.69_10.52.21.225_53_62747_UDP,1,258,1773567990.663225,1773567990.663225,0.0
10.52.21.69_10.52.21.225_53_62786_UDP,1,461,1773567990.663225,1773567990.663225,0.0
10.52.21.69_10.52.21.225_53_64510_UDP,1,286,1773567975.695598,1773567975.695598,0.0
10.52.21.69_10.52.21.225_53_64945_UDP,1,213,1773567980.463969,1773567980.463969,0.0
13.107.137.11_10.52.21.225_443_2458_TCP,496,52993,1773567964.103854,1773568020.420247,5.6e-08
13.107.137.11_10.52.21.225_443_2461_TCP,1854,122866,1773567964.093379,1773567997.439473,3.3e-08
13.107.137.11_10.52.21.225_443_2462_TCP,7122,400351,1773567964.066479,1773568019.38976,5.5e-08
13.107.137.11_10.52.21.225_443_2463_TCP,90,32545,1773567964.093778,1773567999.48568,3.5e-08
13.107.137.11_10.52.21.225_443_2464_TCP,24394,1348496,1773567964.068461,1773568039.857718,7.5e-08
13.107.137.11_10.52.21.225_443_2465_TCP,652,69929,1773567964.125954,1773567997.865563,3.3e-08
13.107.137.11_10.52.21.225_443_33935_TCP,17,17927,1773567990.773681,1773567991.710354,1e-09
